Title,Price,Stock,Img
"140 New for Sale in Columbia, MO","$34,170",Stock: SN317056,https://vehicle-images.dealerinspire.com/70e3-110011308/thumbnails/large/1N4BL4CV7SN317056/324dcb8519822dd8d05995fa0c198f67.jpg
"140 New for Sale in Columbia, MO","$34,170",Stock: SN317056,https://vehicle-images.dealerinspire.com/70e3-110011308/thumbnails/large/1N4BL4CV7SN317056/324dcb8519822dd8d05995fa0c198f67.jpg
"31 New for Sale in Columbia, MO","<= $30,000",Stock: SY219251,https://vehicle-images.dealerinspire.com/063b-110011308/thumbnails/large/3N1AB8DV2SY219251/3f099aa94a4edc8ad1dbd363d647c35f.jpg
"92 New nissan for Sale in Columbia, MO","$28,500",Stock: SL321482,https://vehicle-images.dealerinspire.com/126f-110011308/thumbnails/large/3N8AP6DA3SL321482/9e00533dc48ddea4643c7192a9821fcc.jpg
"29 New Nissan Rogue for Sale in Columbia, MO","$39,850",Stock: SW156628,https://vehicle-images.dealerinspire.com/3141-110011308/thumbnails/large/JN8BT3CB8SW156628/b9bb439683d1c6ea6b4614639b5b617f.jpg
,"$43,050",Stock: SC101716,https://vehicle-images.dealerinspire.com/1de6-110011308/thumbnails/large/5N1AZ3BJ0SC101716/434689155d9e18df5e52efb3005c9a42.jpg
"16 New Nissan Kicks for Sale in Columbia, MO","$28,500",Stock: SL321482,https://vehicle-images.dealerinspire.com/126f-110011308/thumbnails/large/3N8AP6DA3SL321482/9e00533dc48ddea4643c7192a9821fcc.jpg
"9 New Nissan Armada for Sale in Columbia, MO","$72,300",Stock: S9401603,https://vehicle-images.dealerinspire.com/e531-110011308/thumbnails/large/JN8AY3BE3S9401603/ff67b4b0628464fd6b34398aba1c6d85.jpg
"17 New Nissan Pathfinder for Sale in Columbia, MO","$53,060",Stock: SC261901,https://vehicle-images.dealerinspire.com/854b-110011308/thumbnails/large/5N1DR3DJ2SC261901/a43c6366f81b15fbfd5932cd9c169e49.jpg
"0 New for Sale in Columbia, MO",,,
"21 New Nissan for Sale in Columbia, MO","$34,170",Stock: SN317056,https://vehicle-images.dealerinspire.com/70e3-110011308/thumbnails/large/1N4BL4CV7SN317056/324dcb8519822dd8d05995fa0c198f67.jpg
"8 New Nissan Altima for Sale in Columbia, MO","$34,170",Stock: SN317056,https://vehicle-images.dealerinspire.com/70e3-110011308/thumbnails/large/1N4BL4CV7SN317056/324dcb8519822dd8d05995fa0c198f67.jpg
"11 New Nissan Sentra for Sale in Columbia, MO","$27,415",Stock: SY219251,https://vehicle-images.dealerinspire.com/063b-110011308/thumbnails/large/3N1AB8DV2SY219251/3f099aa94a4edc8ad1dbd363d647c35f.jpg
"1 New Nissan Versa for Sale in Columbia, MO","$21,790",Stock: PM78451,https://vehicle-images.dealerinspire.com/9ca2-110011308/thumbnails/large/3N1CN8DV6SL868886/90ca18cd4fcc94294053afa93ab30b1c.jpg
"0 New for Sale in Columbia, MO",,,
"1 New Nissan Z for Sale in Columbia, MO","$61,395",Stock: RM365863,https://vehicle-images.dealerinspire.com/21e0-110011308/thumbnails/large/JN1BZ4BH2RM365863/d2ee4fc46728ef0d316af5e7a6315370.jpg
"27 New Nissan for Sale in Columbia, MO","$50,375",Stock: SN613139,https://vehicle-images.dealerinspire.com/362f-110011308/thumbnails/large/1N6ED1EK8SN613139/d123c55c3621b3320d8ad21b7d45e19b.jpg
