Product Title,Product URL,Product Image,Old Price,New Price,Discount Price,Discount Percentage
Sunblock SPF 60 with Vitamin C,https://saeedghani.pk/collections/skin-care/products/oil-free-sunblock-with-vitamin-c-spf-60,https://saeedghani.pk/cdn/shop/files/Sunblock_300x.jpg?v=1750941231,,Rs. 540,,
Daily Defense Invisible Sunscreen Super Serum SPF 60,https://saeedghani.pk/collections/skin-care/products/daily-defense-invisible-sunscreen-super-serum-spf-60,https://saeedghani.pk/cdn/shop/files/sunscreed_srum_300x.jpg?v=1750941264,,"Rs. 1,300",,
Vitamin C SPF 30 Lotion,https://saeedghani.pk/collections/skin-care/products/vitamin-c-spf-30-fusion-lotion,https://saeedghani.pk/cdn/shop/files/SPF-2-updated_300x.jpg?v=1750941261,,Rs. 600,,
Super Bright Under Eye Gel Cream,https://saeedghani.pk/collections/skin-care/products/super-bright-under-eye-gel-cream,https://saeedghani.pk/cdn/shop/files/Eye-Cream_Edit_300x.jpg?v=1750941259,,Rs. 700,,
Brightening & Nourishing Rice Face Wash,https://saeedghani.pk/collections/skin-care/products/brightening-nourishing-rice-face-wash,https://saeedghani.pk/cdn/shop/files/WhatsApp_Image_2025-02-07_at_22.18.53_ad73069f_300x.jpg?v=1750941262,,Rs. 490,,
Vitamin C Brightening & Anti Aging Face Wash,https://saeedghani.pk/collections/skin-care/products/vitamin-c-brightening-anti-aging-face-wash,https://saeedghani.pk/cdn/shop/files/Vitamin-C-Face-Wash_300x.jpg?v=1750941220,,Rs. 490,,
Activated Charcoal Detox & Cleanse Face Wash,https://saeedghani.pk/collections/skin-care/products/activated-charcoal-face-wash,https://saeedghani.pk/cdn/shop/files/Charcoal-Face-Wash_300x.jpg?v=1750941236,,Rs. 490,,
Goat Milk Hydrating & Anti Aging face wash,https://saeedghani.pk/collections/skin-care/products/goat-milk-hydrating-anti-aging-face-wash,https://saeedghani.pk/cdn/shop/files/Goat-MIlk-Face-Wash-1_300x.jpg?v=1750941240,,Rs. 490,,
Hyaluronic Acid Radiance Boosting Face Wash,https://saeedghani.pk/collections/skin-care/products/hyaluronic-acid-radiance-boosting-face-wash,https://saeedghani.pk/cdn/shop/files/ACID_300x.jpg?v=1750941247,,Rs. 600,,
Tea Tree & Neem Acne Control & Pimple Clear Face Wash,https://saeedghani.pk/collections/skin-care/products/tea-tree-neem-acne-control-pimple-clear-face-wash,https://saeedghani.pk/cdn/shop/files/Tea-Tree_300x.jpg?v=1750941243,,Rs. 490,,
Bundle of 4 Face Washes at the price of 3 (100ml),https://saeedghani.pk/collections/skin-care/products/bundle-of-4-face-washes-at-the-price-of-3-100ml,https://saeedghani.pk/cdn/shop/files/Bundle_of_4_face_washes_100ml_copy_300x.jpg?v=1739307870,Rs. 1960,Rs. 1568,Rs. 392,-20%
Vitamin C Brightening & Anti-Aging Super Serum,https://saeedghani.pk/collections/skin-care/products/vitamin-c-brightening-anti-aging-super-serum,https://saeedghani.pk/cdn/shop/files/01_copy_300x.webp?v=1750941249,,"Rs. 1,050",,
Hyaluronic Acid Radiance Boosting Super Serum,https://saeedghani.pk/collections/skin-care/products/hyaluronic-acid-radiance-boosting-super-serum,https://saeedghani.pk/cdn/shop/files/01copy_300x.webp?v=1750941252,,"Rs. 1,250",,
Retinol Skin Recharge & Anti-Aging Night Serum,https://saeedghani.pk/collections/skin-care/products/retinol-skin-recharge-anti-aging-night-serum,https://saeedghani.pk/cdn/shop/files/01copy_d3c344bf-7301-49c9-87ae-02a5b9a35fc4_300x.webp?v=1750941255,,"Rs. 1,250",,
Tea Tree & Neem Anti-Acne and Pimple Clear Super Serum,https://saeedghani.pk/collections/skin-care/products/tea-tree-neem-anti-acne-and-pimple-clear-super-serum,https://saeedghani.pk/cdn/shop/files/01copy_c80f201b-7799-4809-835d-e9531a593e51_300x.webp?v=1750941257,,Rs. 950,,
Anti Aging Retinol Night Cream,https://saeedghani.pk/collections/skin-care/products/anti-aging-retinol-night-cream,https://saeedghani.pk/cdn/shop/files/01_fba115e0-f191-4173-b87c-7b059190a490_300x.jpg?v=1750941242,,Rs. 800,,
"Oil-Free Moisturizing Cream with Glycerin, Aloe Vera, & Vitamin E",https://saeedghani.pk/collections/skin-care/products/moisturizing-cream,https://saeedghani.pk/cdn/shop/files/Moisturizing-Cream_906dcf83-9670-4b05-b2b8-b0c6b0bf4eff_300x.jpg?v=1750941232,,Rs. 400,,
Vitamin C Brightening & Anti Aging Face Cream,https://saeedghani.pk/collections/skin-care/products/brightening-anti-aging-vitamin-c-face-cream,https://saeedghani.pk/cdn/shop/files/Vitamin-C-Cream_300x.jpg?v=1750941235,,Rs. 450,,
Husn-E-Yousuf Beauty Cream,https://saeedghani.pk/collections/skin-care/products/husn-e-yousuf-face-whitening-cream,https://saeedghani.pk/cdn/shop/products/SG-Square-7-min_300x.jpg?v=1750941441,,Rs. 400,,
Vitamin C Extra Whitening Lotion,https://saeedghani.pk/collections/skin-care/products/vitamin-c-extra-whitening-lotion,https://saeedghani.pk/cdn/shop/files/LOTION_300x.webp?v=1750941222,,Rs. 300,,
Honey & Almond Nourishing Body Lotion,https://saeedghani.pk/collections/skin-care/products/honey-and-almond-lotion-100ml,https://saeedghani.pk/cdn/shop/files/Honey_and_Almond_lotion_300x.webp?v=1750941398,,Rs. 300,,
Shea Butter Whitening Body Lotion,https://saeedghani.pk/collections/skin-care/products/shea-butter-whitening-body-lotion,https://saeedghani.pk/cdn/shop/products/SheaButterLotion_5e6f36a1-5acd-46b4-a22b-72b57391c36d_300x.jpg?v=1750941434,,Rs. 300,,
